region_code,council_code,name_sw,name_en,council_type
DODOMA,DODOMA_KONDOA_DC,Halmashauri ya Wilaya ya Kondoa,Kondoa District Council,DISTRICT
DODOMA,DODOMA_KONDOA_TC,Halmashauri ya Mji wa Kondoa,Kondoa Town Council,TOWN
DODOMA,DODOMA_MPWAPWA_DC,Halmashauri ya Wilaya ya Mpwapwa,Mpwapwa District Council,DISTRICT
DODOMA,DODOMA_KONGWA_DC,Halmashauri ya Wilaya ya Kongwa,Kongwa District Council,DISTRICT
DODOMA,DODOMA_CHAMWINO_DC,Halmashauri ya Wilaya ya Chamwino,Chamwino District Council,DISTRICT
DODOMA,DODOMA_DODOMA_CC,Halmashauri ya Jiji la Dodoma,Dodoma City Council,CITY
DODOMA,DODOMA_BAHI_DC,Halmashauri ya Wilaya ya Bahi,Bahi District Council,DISTRICT
DODOMA,DODOMA_CHEMBA_DC,Halmashauri ya Wilaya ya Chemba,Chemba District Council,DISTRICT
ARUSHA,ARUSHA_MONDULI_DC,Halmashauri ya Wilaya ya Monduli,Monduli District Council,DISTRICT
ARUSHA,ARUSHA_MERU_DC,Halmashauri ya Wilaya ya Meru,Meru District Council,DISTRICT
ARUSHA,ARUSHA_ARUSHA_DC,Halmashauri ya Wilaya ya Arusha,Arusha District Council,DISTRICT
ARUSHA,ARUSHA_LONGIDO_DC,Halmashauri ya Wilaya ya Longido,Longido District Council,DISTRICT
ARUSHA,ARUSHA_KARATU_DC,Halmashauri ya Wilaya ya Karatu,Karatu District Council,DISTRICT
ARUSHA,ARUSHA_NGORONGORO_DC,Halmashauri ya Wilaya ya Ngorongoro,Ngorongoro District Council,DISTRICT
ARUSHA,ARUSHA_ARUSHA_CC,Halmashauri ya Jiji la Arusha,Arusha City Council,CITY
KILIMANJARO,KILIMANJARO_ROMBO_DC,Halmashauri ya Wilaya ya Rombo,Rombo District Council,DISTRICT
KILIMANJARO,KILIMANJARO_MWANGA_DC,Halmashauri ya Wilaya ya Mwanga,Mwanga District Council,DISTRICT
